case_path,shape,case_stats,cand1,score1,ncc1,cand1_stats,cand2,score2,ncc2,cand2_stats,cand3,score3,ncc3,cand3_stats,status
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case001_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2240.0,mean=119.743",0010226650_S006a.nii.gz,1015.4995,0.4722,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,1015.4998,0.4722,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1160.5834,0.4855,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case002_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8499.0,mean=135.219",0010168569_S003a.nii.gz,33.2416,0.5112,"min=0.0,max=8498.0,mean=167.283",0010168569_S003.nii.gz,33.2419,0.5112,"min=0.0,max=8498.0,mean=167.284",0006041058_S003.nii.gz,113.5265,0.3993,"min=0.0,max=8890.0,mean=169.344",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case003_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3161.0,mean=138.206",0010226650_S006a.nii.gz,849.8294,0.4385,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,849.8297,0.4385,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,957.9689,0.4615,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case004_0000.nii.gz,"(256, 256, 52)","min=0.0,max=4267.0,mean=129.336",0010226650_S006a.nii.gz,619.8915,0.3723,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,619.8918,0.3724,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,745.7493,0.4063,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case005_0000.nii.gz,"(256, 256, 52)","min=0.0,max=9282.0,mean=146.082",0006041058_S003.nii.gz,102.7996,0.4316,"min=0.0,max=8890.0,mean=169.344",0006041058_S003a.nii.gz,102.7998,0.4316,"min=0.0,max=8890.0,mean=169.345",0003270514_S006.nii.gz,129.1934,0.3774,"min=0.0,max=8923.0,mean=202.230",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case006_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2768.0,mean=157.263",0010226650_S006a.nii.gz,947.5681,0.3977,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,947.5684,0.3977,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1017.5269,0.4538,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case007_0000.nii.gz,"(256, 256, 52)","min=0.0,max=5836.0,mean=95.547",0010226650_S006.nii.gz,284.7928,0.4798,"min=0.0,max=7223.0,mean=101.899",0010226650_S006a.nii.gz,284.7931,0.4798,"min=0.0,max=7223.0,mean=101.900",0010223866_S003.nii.gz,465.6055,0.4726,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case008_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2952.0,mean=173.718",0010226650_S006a.nii.gz,927.4162,0.3011,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,927.4165,0.3011,"min=0.0,max=7223.0,mean=101.899",0010223866_S003a.nii.gz,995.3368,0.3417,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case009_0000.nii.gz,"(256, 256, 52)","min=0.0,max=4267.0,mean=129.336",0010226650_S006a.nii.gz,619.8915,0.3723,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,619.8918,0.3724,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,745.7493,0.4063,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case010_0000.nii.gz,"(256, 256, 52)","min=0.0,max=10564.0,mean=141.605",0010209152_S004.nii.gz,168.1136,0.2234,"min=0.0,max=11045.0,mean=211.965",0010209152_S004a.nii.gz,168.1143,0.2234,"min=0.0,max=11045.0,mean=211.966",0010209152_S004b.nii.gz,168.1143,0.2234,"min=0.0,max=11045.0,mean=211.966",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case011_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3951.0,mean=133.942",0010226650_S006a.nii.gz,687.4635,0.4896,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,687.4638,0.4896,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,804.2039,0.4758,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case012_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2887.0,mean=166.078",0010226650_S006a.nii.gz,932.8412,0.2686,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,932.8415,0.2686,"min=0.0,max=7223.0,mean=101.899",0010223866_S003a.nii.gz,1000.7785,0.3008,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case013_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2410.0,mean=101.670",0010226650_S006.nii.gz,963.9562,0.4363,"min=0.0,max=7223.0,mean=101.899",0010226650_S006a.nii.gz,963.9566,0.4363,"min=0.0,max=7223.0,mean=101.900",0010223866_S003.nii.gz,1144.5826,0.5224,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case015_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2793.0,mean=130.056",0010226650_S006a.nii.gz,914.9517,0.6021,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,914.9521,0.6021,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1039.7580,0.4421,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case016_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2418.0,mean=96.100",0010226650_S006.nii.gz,967.8263,0.4865,"min=0.0,max=7223.0,mean=101.899",0010226650_S006a.nii.gz,967.8266,0.4865,"min=0.0,max=7223.0,mean=101.900",0010223866_S003.nii.gz,1148.6902,0.4538,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case017_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2831.0,mean=143.423",0010226650_S006a.nii.gz,921.0614,0.4310,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,921.0618,0.4310,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1018.8479,0.4135,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case018_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3166.0,mean=150.509",0010226650_S006a.nii.gz,861.0859,0.4618,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,861.0862,0.4618,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,944.6592,0.4647,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case019_0000.nii.gz,"(256, 256, 52)","min=0.0,max=1075.0,mean=59.407",0010226650_S006.nii.gz,1272.5011,0.7958,"min=0.0,max=7223.0,mean=101.899",0010226650_S006a.nii.gz,1272.5015,0.7958,"min=0.0,max=7223.0,mean=101.900",0010223866_S003.nii.gz,1453.9805,0.4554,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case020_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3531.0,mean=128.639",0010226650_S006a.nii.gz,766.3437,0.3977,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,766.3441,0.3977,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,893.5860,0.4365,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case021_0000.nii.gz,"(256, 256, 52)","min=0.0,max=6063.0,mean=160.185",0010226650_S006a.nii.gz,291.4775,0.4039,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,291.4779,0.4039,"min=0.0,max=7223.0,mean=101.899",0010223866_S003a.nii.gz,359.3484,0.4694,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case022_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2396.0,mean=125.917",0010226650_S006a.nii.gz,990.5299,0.4440,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,990.5302,0.4440,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1123.2797,0.4503,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case023_0000.nii.gz,"(256, 256, 52)","min=0.0,max=1673.0,mean=106.277",0010226650_S006a.nii.gz,1115.3568,0.5102,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,1115.3571,0.5102,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1287.6087,0.4061,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case024_0000.nii.gz,"(256, 256, 79)","min=0.0,max=6359.0,mean=227.210",0010200618_S007a.nii.gz,782.8322,0.3461,"min=0.0,max=10075.0,mean=265.534",0010200618_S007.nii.gz,782.8333,0.3461,"min=0.0,max=10075.0,mean=265.535",0010225035_S004a.nii.gz,1412.9461,0.4040,"min=0.0,max=13314.0,mean=247.964",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case025_0000.nii.gz,"(256, 256, 75)","min=0.0,max=4014.0,mean=190.028",0007747436_S457.nii.gz,73.1821,0.3469,"min=-1.0,max=4094.0,mean=134.353",0007747436_S457a.nii.gz,73.1821,0.3469,"min=-1.0,max=4094.0,mean=134.353",0007747436_S456.nii.gz,73.8907,0.3484,"min=-1.0,max=4094.0,mean=133.641",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case026_0000.nii.gz,"(256, 256, 79)","min=0.0,max=4232.0,mean=168.625",0010200618_S007a.nii.gz,1266.3479,0.5805,"min=0.0,max=10075.0,mean=265.534",0010200618_S007.nii.gz,1266.3490,0.5805,"min=0.0,max=10075.0,mean=265.535",0010225035_S004a.nii.gz,1896.8597,0.4394,"min=0.0,max=13314.0,mean=247.964",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case027_0000.nii.gz,"(256, 256, 52)","min=0.0,max=1260.0,mean=78.962",0010226650_S006.nii.gz,1216.6650,0.4362,"min=0.0,max=7223.0,mean=101.899",0010226650_S006a.nii.gz,1216.6653,0.4362,"min=0.0,max=7223.0,mean=101.900",0010223866_S003.nii.gz,1396.7529,0.7915,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case028_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2421.0,mean=133.010",0010226650_S006a.nii.gz,992.6988,0.4058,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,992.6991,0.4058,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1111.3003,0.3938,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case029_0000.nii.gz,"(256, 256, 79)","min=0.0,max=3923.0,mean=194.770",0010200618_S007a.nii.gz,1302.2443,0.4597,"min=0.0,max=10075.0,mean=265.534",0010200618_S007.nii.gz,1302.2454,0.4597,"min=0.0,max=10075.0,mean=265.535",0010225035_S004a.nii.gz,1932.8399,0.2767,"min=0.0,max=13314.0,mean=247.964",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case030_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2271.0,mean=123.696",0010226650_S006a.nii.gz,1013.2689,0.4639,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,1013.2692,0.4639,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1150.4187,0.4914,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case031_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2125.0,mean=128.641",0010226650_S006a.nii.gz,1047.5086,0.4163,"min=0.0,max=7223.0,mean=101.900",0010226650_S006.nii.gz,1047.5089,0.4163,"min=0.0,max=7223.0,mean=101.899",0010223866_S003.nii.gz,1174.6812,0.4878,"min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case032_0000.nii.gz,"(256, 256, 52)","min=0.0,max=18784.0,mean=375.124",0007100648_S003a.nii.gz,0.0000,1.0000,"min=0.0,max=18784.0,mean=375.124",0007100648_S003.nii.gz,0.0002,1.0000,"min=0.0,max=18784.0,mean=375.124",0007612028_S007.nii.gz,75.6694,0.3035,"min=0.0,max=18694.0,mean=318.848",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case033_0000.nii.gz,"(256, 256, 52)","min=0.0,max=13892.0,mean=225.603",0010253999_S006a.nii.gz,0.0000,1.0000,"min=0.0,max=13892.0,mean=225.603",0010253999_S006b.nii.gz,0.0000,1.0000,"min=0.0,max=13892.0,mean=225.603",0010253999_S006.nii.gz,0.0002,1.0000,"min=0.0,max=13892.0,mean=225.603",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case034_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8890.0,mean=169.345",0006041058_S003a.nii.gz,0.0000,1.0000,"min=0.0,max=8890.0,mean=169.345",0006041058_S003.nii.gz,0.0002,1.0000,"min=0.0,max=8890.0,mean=169.344",0003270514_S006.nii.gz,40.6475,0.4189,"min=0.0,max=8923.0,mean=202.230",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case035_0000.nii.gz,"(256, 256, 52)","min=0.0,max=13335.0,mean=319.630",0008893374_S004a.nii.gz,0.0000,1.0000,"min=0.0,max=13335.0,mean=319.630",0008893374_S004.nii.gz,0.0000,1.0000,"min=0.0,max=13335.0,mean=319.630",0007021826_S003.nii.gz,79.5019,0.4580,"min=0.0,max=13319.0,mean=244.412",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case036_0000.nii.gz,"(256, 256, 52)","min=0.0,max=11781.0,mean=325.498",0007871131_S003.nii.gz,0.0000,1.0000,"min=0.0,max=11781.0,mean=325.498",0007871131_S003a.nii.gz,0.0000,1.0000,"min=0.0,max=11781.0,mean=325.498",0007871131_S003b.nii.gz,0.0000,1.0000,"min=0.0,max=11781.0,mean=325.498",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case037_0000.nii.gz,"(256, 256, 52)","min=0.0,max=10100.0,mean=255.352",0000738343_S003.nii.gz,0.0009,1.0000,"min=0.0,max=10100.0,mean=255.351",0007430392_S004.nii.gz,113.6667,0.4408,"min=0.0,max=9839.0,mean=195.004",0007430392_S004a.nii.gz,113.6671,0.4408,"min=0.0,max=9839.0,mean=195.004",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case038_0000.nii.gz,"(256, 256, 52)","min=0.0,max=15489.0,mean=401.516",0010130038_S005a.nii.gz,0.0000,1.0000,"min=0.0,max=15489.0,mean=401.516",0010130038_S005.nii.gz,0.0004,1.0000,"min=0.0,max=15489.0,mean=401.515",0008889111_S003a.nii.gz,106.6711,0.2107,"min=0.0,max=15763.0,mean=351.223",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case039_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8498.0,mean=167.283",0010168569_S003a.nii.gz,0.0000,1.0000,"min=0.0,max=8498.0,mean=167.283",0010168569_S003.nii.gz,0.0003,1.0000,"min=0.0,max=8498.0,mean=167.284",0006041058_S003.nii.gz,81.6045,0.4283,"min=0.0,max=8890.0,mean=169.344",ok
