case_path,shape,case_stats,cand1,score1,cand1_stats,cand2,score2,cand2_stats,cand3,score3,cand3_stats,status
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case001_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2240.0,mean=119.743",cand1=0010226650_S006a.nii.gz,score1=1015.5856,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=1015.5859,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1160.6326,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case002_0000.nii.gz,"(256, 256, 52)","min=0.0,max=8499.0,mean=135.219",cand1=0010168569_S003a.nii.gz,score1=33.1758,"cand1_stats=min=0.0,max=8498.0,mean=167.283",cand2=0010168569_S003.nii.gz,score2=33.1761,"cand2_stats=min=0.0,max=8498.0,mean=167.284",cand3=0006041058_S003.nii.gz,score3=113.4942,"cand3_stats=min=0.0,max=8890.0,mean=169.344",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case003_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3161.0,mean=138.206",cand1=0010226650_S006a.nii.gz,score1=849.9542,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=849.9545,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=958.0069,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case004_0000.nii.gz,"(256, 256, 52)","min=0.0,max=4267.0,mean=129.336",cand1=0010226650_S006a.nii.gz,score1=619.8374,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=619.8377,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=745.6589,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case005_0000.nii.gz,"(256, 256, 52)","min=0.0,max=9282.0,mean=146.082",cand1=0006041058_S003.nii.gz,score1=102.8112,"cand1_stats=min=0.0,max=8890.0,mean=169.344",cand2=0006041058_S003a.nii.gz,score2=102.8115,"cand2_stats=min=0.0,max=8890.0,mean=169.345",cand3=0003270514_S006.nii.gz,score3=129.2609,"cand3_stats=min=0.0,max=8923.0,mean=202.230",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case006_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2768.0,mean=157.263",cand1=0010226650_S006a.nii.gz,score1=947.6599,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=947.6602,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1017.6071,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case007_0000.nii.gz,"(256, 256, 52)","min=0.0,max=5836.0,mean=95.547",cand1=0010226650_S006.nii.gz,score1=284.8834,"cand1_stats=min=0.0,max=7223.0,mean=101.899",cand2=0010226650_S006a.nii.gz,score2=284.8837,"cand2_stats=min=0.0,max=7223.0,mean=101.900",cand3=0010223866_S003.nii.gz,score3=465.5698,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case008_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2952.0,mean=173.718",cand1=0010226650_S006a.nii.gz,score1=927.4327,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=927.4330,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003a.nii.gz,score3=995.3472,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case009_0000.nii.gz,"(256, 256, 52)","min=0.0,max=4267.0,mean=129.336",cand1=0010226650_S006a.nii.gz,score1=619.8374,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=619.8377,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=745.6589,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case010_0000.nii.gz,"(256, 256, 52)","min=0.0,max=10564.0,mean=141.605",cand1=0010209152_S004.nii.gz,score1=168.0940,"cand1_stats=min=0.0,max=11045.0,mean=211.965",cand2=0010209152_S004a.nii.gz,score2=168.0947,"cand2_stats=min=0.0,max=11045.0,mean=211.966",cand3=0010209152_S004b.nii.gz,score3=168.0947,"cand3_stats=min=0.0,max=11045.0,mean=211.966",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case011_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3951.0,mean=133.942",cand1=0010226650_S006a.nii.gz,score1=687.5334,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=687.5338,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=804.2311,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case012_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2887.0,mean=166.078",cand1=0010226650_S006a.nii.gz,score1=932.8355,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=932.8358,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003a.nii.gz,score3=1000.7488,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case013_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2410.0,mean=101.670",cand1=0010226650_S006.nii.gz,score1=964.0044,"cand1_stats=min=0.0,max=7223.0,mean=101.899",cand2=0010226650_S006a.nii.gz,score2=964.0048,"cand2_stats=min=0.0,max=7223.0,mean=101.900",cand3=0010223866_S003.nii.gz,score3=1144.6192,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case015_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2793.0,mean=130.056",cand1=0010226650_S006a.nii.gz,score1=915.0591,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=915.0594,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1039.8027,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case016_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2418.0,mean=96.100",cand1=0010226650_S006.nii.gz,score1=967.8261,"cand1_stats=min=0.0,max=7223.0,mean=101.899",cand2=0010226650_S006a.nii.gz,score2=967.8264,"cand2_stats=min=0.0,max=7223.0,mean=101.900",cand3=0010223866_S003.nii.gz,score3=1148.6225,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case017_0000.nii.gz,"(256, 256, 52)","min=0.0,max=2831.0,mean=143.423",cand1=0010226650_S006a.nii.gz,score1=921.1023,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=921.1026,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=1018.8203,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case018_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3166.0,mean=150.509",cand1=0010226650_S006a.nii.gz,score1=861.1394,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=861.1397,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=944.6789,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case019_0000.nii.gz,"(256, 256, 52)","min=0.0,max=1075.0,mean=59.407",cand1=0010226650_S006.nii.gz,score1=1272.5430,"cand1_stats=min=0.0,max=7223.0,mean=101.899",cand2=0010226650_S006a.nii.gz,score2=1272.5434,"cand2_stats=min=0.0,max=7223.0,mean=101.900",cand3=0010223866_S003.nii.gz,score3=1453.9645,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
C:\Users\orilab\Desktop\masumoto\2dunet\Dataset\imagesTr\case020_0000.nii.gz,"(256, 256, 52)","min=0.0,max=3531.0,mean=128.639",cand1=0010226650_S006a.nii.gz,score1=766.3874,"cand1_stats=min=0.0,max=7223.0,mean=101.900",cand2=0010226650_S006.nii.gz,score2=766.3877,"cand2_stats=min=0.0,max=7223.0,mean=101.899",cand3=0010223866_S003.nii.gz,score3=893.5659,"cand3_stats=min=0.0,max=7845.0,mean=158.298",ok
